,Data_Point,Test_Time(s),Date_Time,Step_Time(s),,Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Temperature (C)_1,Temperature (C)_2,Temperature (C)_3,Temperature (C)_4
2.1,1,0.057721679,01/20/2017 18:44:06,1.59991E-06,,2,1,1.12558E-06,3.073794365,1E-15,0,2E-15,0,0,0,0,0,0,26.29388618,26.20202446,25.93118477,25.88146019
2.1,2,0.198158165,01/20/2017 18:44:06,0.140438406,,2,1,1.100248337,3.106263638,6.06361E-06,0,1.86869E-05,0,0.006493854,0,0,0,0,26.29388618,26.20202446,25.93118477,25.88146019
2.1,3,2.865738804,01/20/2017 18:44:08,2.808019045,,2,1,1.099191666,3.116577387,0.000820987,0,0.00255465,0,0.008556604,0,0,0,0,26.36984062,26.20202446,25.93118477,25.80547523
2.1,4,6.796850402,01/20/2017 18:44:12,6.739130643,,2,1,1.099898338,3.126891375,0.002021986,0,0.006303906,0,0.002139187,0,0,0,0,26.44579315,26.05005264,25.93118477,25.80547523
2.1,5,11.24275936,01/20/2017 18:44:17,11.18503929,,2,1,1.099552631,3.137205124,0.003380112,0,0.010557522,0,0.001833582,0,0,0,0,26.29388618,26.20202446,25.93118477,25.80547523
2.1,6,16.39064469,01/20/2017 18:44:22,16.33292493,,2,1,1.099898338,3.147518873,0.004952828,0,0.015499373,0,0.001604366,0,0,0,0,26.36984062,26.3539772,25.93118477,25.80547523
2.1,7,22.05331074,01/20/2017 18:44:28,21.99559066,,2,1,1.099191666,3.157832623,0.006682616,0,0.02095275,0,0.00145154,0,0,0,0,26.29388618,26.20202446,25.93118477,25.88146019
2.1,8,28.32435293,01/20/2017 18:44:34,28.26663318,,2,1,1.100248337,3.16814661,0.00859814,0,0.027011436,0,0.001298809,0,0,0,0,26.29388618,26.20202446,25.93118477,25.80547523
2.1,9,35.01663195,01/20/2017 18:44:41,34.95891219,,2,1,1.099191666,3.17846036,0.010642394,0,0.033498131,0,0.001222372,0,0,0,0,26.29388618,26.3539772,25.93118477,25.72948647
2.1,10,42.41087933,01/20/2017 18:44:48,42.35315957,,2,1,1.099191666,3.188774109,0.012901249,0,0.04068888,0,0.001222372,0,0,0,0,26.29388618,26.20202446,25.93118477,25.72948647
2.1,11,50.69426672,01/20/2017 18:44:56,50.63654664,,2,1,1.100248337,3.199087858,0.015431808,0,0.048770763,0,0.000993156,0,0,0,0,26.29388618,26.20202446,25.93118477,25.80547523
2.1,12,59.53929445,01/20/2017 18:45:05,59.48157469,,2,1,1.099920988,3.209401846,0.018134128,0,0.057429528,0,0.000993204,0,0,0,0,26.29388618,26.20202446,25.93118477,25.80547523
2.1,13,68.8523332,01/20/2017 18:45:14,68.79461312,,2,1,1.100248337,3.219715595,0.020979124,0,0.066574523,0,0.000916815,0,0,0,0,26.27898026,26.26309013,25.99227142,25.94255257
2.1,14,78.85568948,01/20/2017 18:45:24,78.79796972,,2,1,1.099541783,3.229647398,0.024035093,0,0.07642836,0,0.000840378,0,0,0,0,26.26335716,26.17149353,25.90064049,25.69893265
2.1,15,88.87068379,01/20/2017 18:45:34,88.81296371,,2,1,1.099194765,3.239197254,0.027094876,0,0.086324406,0,0.000763988,0,0,0,0,26.21792221,26.05005264,25.93118477,25.80547523
2.1,16,98.88327793,01/20/2017 18:45:44,98.82555785,,2,1,1.100248337,3.247601032,0.030153693,0,0.096245035,0,0.000687599,0,0,0,0,26.21792221,26.20202446,25.93118477,25.80547523
2.1,17,108.8981215,01/20/2017 18:45:55,108.8404014,,2,1,1.099898338,3.255622864,0.033213202,0,0.106193569,0,0.00061121,0,0,0,0,26.29388618,26.20202446,25.93118477,25.80547523
2.1,18,118.9131296,01/20/2017 18:46:05,118.8554098,,2,1,1.099210024,3.263262749,0.036272755,0,0.116166045,0,0.00061121,0,0,0,0,26.27898026,26.26309013,25.91623116,25.94255257
2.1,19,128.9282333,01/20/2017 18:46:15,128.8705136,,2,1,1.099541783,3.269374609,0.039332232,0,0.126159381,0,0.000458384,0,0,0,0,26.21792221,26.20202446,25.93118477,25.80547523
2.1,20,138.9429605,01/20/2017 18:46:25,138.8852404,,2,1,1.099887371,3.274340391,0.042391531,0,0.136169586,0,0.000381947,0,0,0,0,26.21792221,26.20202446,25.93118477,25.80547523
2.1,21,148.9580748,01/20/2017 18:46:35,148.900355,,2,1,1.100240946,3.278160334,0.045451113,0,0.14619418,0,0.000229168,0,0,0,0,26.18739128,26.01951408,25.90064049,25.77492523
2.1,22,158.9731004,01/20/2017 18:46:45,158.9153804,,2,1,1.09990263,3.280834436,0.048510612,0,0.156228369,0,0.000229216,0,0,0,0,26.21792221,26.20202446,25.93118477,25.72948647
2.1,23,168.9880714,01/20/2017 18:46:55,168.9303545,,2,1,1.099534392,3.282744408,0.05157025,0,0.166270094,0,7.63893E-05,0,0,0,0,26.20301437,26.26309013,25.99227142,25.94255257
2.1,24,178.9914574,01/20/2017 18:47:05,178.9337377,,2,1,1.099898338,3.284654379,0.054626042,0,0.176304633,0,0.000152826,0,0,0,0,26.21792221,26.05005264,25.93118477,25.80547523
2.1,25,189.0064274,01/20/2017 18:47:15,188.9487074,,2,1,1.099555731,3.285800219,0.057685432,0,0.186355418,0,0.000152779,0,0,0,0,26.18739128,26.17149353,25.90064049,25.92689323
2.1,26,199.0078139,01/20/2017 18:47:25,198.9500938,,2,1,1.09990263,3.286946297,0.060740872,0,0.196396906,0,7.63893E-05,0,0,0,0,26.21792221,26.20202446,25.93118477,25.80547523
2.1,27,209.0227302,01/20/2017 18:47:35,208.9650104,,2,1,1.099210024,3.288092136,0.063800149,0,0.206454753,0,7.63893E-05,0,0,0,0,26.29388618,26.20202446,25.85513878,25.80547523
2.1,28,219.0376749,01/20/2017 18:47:45,218.9799551,,2,1,1.099537373,3.289238214,0.066859791,0,0.216517211,0,0.000152779,0,0,0,0,26.35494041,26.11112404,26.06830597,25.86657143
2.1,29,229.0443481,01/20/2017 18:47:55,228.9866283,,2,1,1.09990263,3.290384293,0.069916852,0,0.226574654,0,7.6437E-05,0,0,0,0,26.21792221,26.05005264,25.93118477,25.80547523
2.1,30,239.0593277,01/20/2017 18:48:05,239.0016079,,2,1,1.099537373,3.291530132,0.072976414,0,0.236643739,0,7.63893E-05,0,0,0,0,26.21792221,26.05005264,25.93118477,25.88146019
2.1,31,249.0702832,01/20/2017 18:48:15,249.0125634,,2,1,1.099541783,3.29267621,0.076034726,0,0.246712137,0,7.63893E-05,0,0,0,0,26.29388618,26.20202446,25.85513878,25.88146019
2.1,32,259.0812892,01/20/2017 18:48:25,259.0235695,,2,1,1.09990263,3.294204235,0.079093083,0,0.25678414,0,7.6437E-05,0,0,0,0,26.35494041,26.26309013,25.99227142,25.94255257
2.1,33,269.096168,01/20/2017 18:48:35,269.0384483,,2,1,1.09990263,3.294968128,0.082152549,0,0.266863272,0,7.63893E-05,0,0,0,0,26.29388618,26.20202446,25.93118477,25.80547523
2.1,34,279.1112558,01/20/2017 18:48:45,279.0535357,,2,1,1.100248337,3.296114206,0.085212162,0,0.276946234,0,7.6437E-05,0,0,0,0,26.35494041,26.26309013,25.91623116,25.86657143
2.1,35,289.1262408,01/20/2017 18:48:55,289.0685211,,2,1,1.099541783,3.297260046,0.088271856,0,0.287033337,0,7.63893E-05,0,0,0,0,26.29388618,26.20202446,25.93118477,25.88146019
2.1,36,299.1412073,01/20/2017 18:49:05,299.0834875,,2,1,1.099898338,3.298406124,0.091331246,0,0.297123013,0,7.63893E-05,0,0,0,0,26.26335716,26.01951408,25.74854279,25.85091209
2.1,37,309.1562029,01/20/2017 18:49:15,309.0984831,,2,1,1.100248337,3.299551964,0.09439088,0,0.307216955,0,7.63893E-05,0,0,0,0,26.29388618,26.20202446,25.93118477,25.80547523
2.1,38,319.1571625,01/20/2017 18:49:25,319.0994428,,2,1,1.09990263,3.301079988,0.097446067,0,0.317300266,0,7.63893E-05,0,0,0,0,26.44579315,26.05005264,25.93118477,25.80547523
2.1,39,329.1721431,01/20/2017 18:49:35,329.1144233,,2,1,1.100248337,3.301843882,0.100505596,0,0.327401306,0,7.63893E-05,0,0,0,0,26.50684166,26.11112404,25.99227142,25.86657143
2.1,40,339.1869975,01/20/2017 18:49:45,339.1292778,,2,1,1.099537373,3.303371906,0.103565119,0,0.337506235,0,0.000152779,0,0,0,0,26.29388618,26.20202446,25.85513878,25.88146019
2.1,41,349.2021051,01/20/2017 18:49:55,349.1443851,,2,1,1.099537373,3.304899931,0.106624599,0,0.347614935,0,0.000152779,0,0,0,0,26.36984062,26.20202446,26.00722313,25.80547523
2.1,42,359.2107049,01/20/2017 18:50:05,359.1529852,,2,1,1.099210024,3.306046009,0.109682142,0,0.357721087,0,0.000152826,0,0,0,0,26.50684166,26.26309013,25.99227142,25.94255257
2.1,43,369.2256583,01/20/2017 18:50:15,369.1679382,,2,1,1.099898338,3.307191849,0.11274163,0,0.367837806,0,7.63893E-05,0,0,0,0,26.44579315,26.20202446,25.93118477,25.80547523
2.1,44,379.2406001,01/20/2017 18:50:25,379.1828804,,2,1,1.099541783,3.308719873,0.115801014,0,0.377958265,0,0.000152779,0,0,0,0,26.44579315,26.20202446,25.93118477,25.80547523
2.1,45,389.2556332,01/20/2017 18:50:35,389.1979134,,2,1,1.099194765,3.310247898,0.118860427,0,0.388083175,0,0.000152826,0,0,0,0,26.44579315,26.05005264,25.93118477,25.80547523
2.1,46,399.2706035,01/20/2017 18:50:45,399.2128837,,2,1,1.099887371,3.311393738,0.12192001,0,0.398212707,0,7.63893E-05,0,0,0,0,26.50684166,26.26309013,25.99227142,25.86657143
2.1,47,409.2855767,01/20/2017 18:50:55,409.2278569,,2,1,1.099898338,3.312921762,0.124979561,0,0.408346455,0,7.63893E-05,0,0,0,0,26.44579315,26.20202446,25.93118477,25.80547523
2.1,48,419.3005566,01/20/2017 18:51:05,419.2428365,,2,1,1.099552631,3.314449787,0.128038996,0,0.418484095,0,0.000152826,0,0,0,0,26.44579315,26.20202446,25.93118477,25.80547523
2.1,49,429.3155759,01/20/2017 18:51:15,429.2578558,,2,1,1.09990263,3.315977812,0.131098332,0,0.428625888,0,0.000152826,0,0,0,0,26.50684166,26.26309013,25.99227142,25.94255257
2.1,50,439.33051,01/20/2017 18:51:25,439.2727899,,2,1,1.099898338,3.317123652,0.13415792,0,0.438773032,0,7.63893E-05,0,0,0,0,26.44579315,26.20202446,25.93118477,25.80547523
2.1,51,449.3454694,01/20/2017 18:51:35,449.2877494,,2,1,1.099194765,3.318651676,0.137217173,0,0.448923484,0,0.000152779,0,0,0,0,26.50684166,26.26309013,25.99227142,25.94255257
2.1,52,459.3604692,01/20/2017 18:51:45,459.3027494,,2,1,1.099887371,3.320179701,0.140276838,0,0.459079693,0,0.000152826,0,0,0,0,26.58278465,26.11112404,26.06830597,25.94255257
2.1,53,469.3618474,01/20/2017 18:51:55,469.3041305,,2,1,1.09990263,3.321707726,0.143332121,0,0.469225865,0,0.000152826,0,0,0,0,26.44579315,26.20202446,25.93118477,25.88146019
2.1,54,479.3768308,01/20/2017 18:52:05,479.3191107,,2,1,1.09990263,3.322853565,0.146391711,0,0.479390871,0,7.63893E-05,0,0,0,0,26.52174187,26.05005264,25.85513878,25.80547523
2.1,55,489.3917979,01/20/2017 18:52:15,489.3340778,,2,1,1.099191666,3.32438159,0.149451081,0,0.489559384,0,0.000152826,0,0,0,0,26.58278465,26.26309013,25.99227142,25.86657143
2.1,56,499.3971851,01/20/2017 18:52:25,499.3394653,,2,1,1.099210024,3.325909615,0.152507665,0,0.499723055,0,7.6437E-05,0,0,0,0,26.44579315,26.20202446,25.93118477,25.80547523
2.1,57,509.4067983,01/20/2017 18:52:35,509.3490782,,2,1,1.09990263,3.327437401,0.155565548,0,0.509895557,0,7.63893E-05,0,0,0,0,26.44579315,26.20202446,25.93118477,25.80547523
2.1,58,519.4131442,01/20/2017 18:52:45,519.3554244,,2,1,1.099552631,3.328583479,0.15862252,0,0.520069124,0,7.63893E-05,0,0,0,0,26.52174187,26.20202446,25.93118477,25.80547523
2.1,59,529.4165667,01/20/2017 18:52:55,529.3588466,,2,1,1.099887371,3.330111504,0.161678549,0,0.530243834,0,7.63893E-05,0,0,0,0,26.44579315,26.20202446,25.93118477,25.88146019
2.1,60,539.4215219,01/20/2017 18:53:05,539.3638021,,2,1,1.099541783,3.331639528,0.164735061,0,0.540424358,0,0.000152826,0,0,0,0,26.52174187,26.20202446,25.93118477,25.72948647
2.1,61,549.4268867,01/20/2017 18:53:15,549.3691666,,2,1,1.09990263,3.332785368,0.167791864,0,0.550609791,0,7.63893E-05,0,0,0,0,26.52174187,26.20202446,25.93118477,25.88146019
2.1,62,559.4418551,01/20/2017 18:53:25,559.3841353,,2,1,1.100248337,3.333931446,0.170851331,0,0.560808355,0,7.63893E-05,0,0,0,0,26.52174187,26.20202446,25.93118477,25.80547523
2.1,63,569.4452498,01/20/2017 18:53:35,569.3875297,,2,1,1.09990263,3.335459471,0.173907115,0,0.5709985,0,0.000152826,0,0,0,0,26.52174187,26.20202446,26.08325768,25.88146019
2.1,64,579.4602188,01/20/2017 18:53:45,579.4024991,,2,1,1.100248337,3.33660531,0.176966534,0,0.581204556,0,7.63893E-05,0,0,0,0,26.58278465,26.26309013,25.99227142,25.94255257
2.1,65,589.4751811,01/20/2017 18:53:55,589.417461,,2,1,1.099210024,3.337751389,0.180025976,0,0.591414405,0,0.000152826,0,0,0,0,26.44579315,26.20202446,25.93118477,25.80547523
2.1,66,599.4901783,01/20/2017 18:54:05,599.4324586,,2,1,1.099887371,3.339279175,0.183085411,0,0.601627992,0,0.000152779,0,0,0,0,26.65872002,26.26309013,25.99227142,25.86657143
2.1,67,609.5050635,01/20/2017 18:54:15,609.4473434,,2,1,1.099537373,3.340043306,0.18614484,0,0.611845404,0,7.63893E-05,0,0,0,0,26.52174187,26.20202446,25.93118477,25.88146019
2.1,68,619.520141,01/20/2017 18:54:25,619.4624213,,2,1,1.099560022,3.341189146,0.189204286,0,0.622066274,0,7.63893E-05,0,0,0,0,26.49122238,26.17149353,25.90064049,25.77492523
2.1,69,629.5351395,01/20/2017 18:54:35,629.4774197,,2,1,1.099541783,3.342717171,0.192263645,0,0.632290471,0,7.63893E-05,0,0,0,0,26.59768295,26.20202446,25.93118477,25.88146019
2.1,70,639.5416732,01/20/2017 18:54:45,639.4839534,,2,1,1.100245357,3.343481302,0.195320685,0,0.642510316,0,7.6437E-05,0,0,0,0,26.59768295,26.20202446,25.93118477,25.80547523
