,Data_Point,Test_Time(s),Date_Time,Step_Time(s),,Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Temperature (C)_1,Temperature (C)_2,Temperature (C)_3,Temperature (C)_4
1.1,1,10.01052802,01/18/2017 21:22:10,9.952608566,,1,1,0,3.028719187,2.447E-12,0,7.409E-12,0,7.63893E-05,0,0,0,0,25.68602753,26.05005264,25.62697411,25.65349197
1.1,2,20.01831124,01/18/2017 21:22:20,19.9603921,,1,1,0,3.02833724,2.447E-12,0,7.409E-12,0,0,0,0,0,0,25.68602753,26.05005264,25.77908897,25.57749176
1.1,3,30.03333179,01/18/2017 21:22:30,29.97541266,,1,1,0,3.02833724,2.447E-12,0,7.409E-12,0,0,0,0,0,0,25.74711609,25.95913506,25.76413536,25.6385994
1.1,4,40.03670791,01/18/2017 21:22:40,39.97878878,,1,1,0,3.027955055,2.447E-12,0,7.409E-12,0,-7.6437E-05,0,0,0,0,25.76202965,26.20202446,25.70303345,25.57749176
1.1,5,50.05008759,01/18/2017 21:22:50,49.99216846,,1,1,0,3.02833724,2.447E-12,0,7.409E-12,0,0,0,0,0,0,25.68602753,26.05005264,25.70303345,25.57749176
1.1,6,60.06506591,01/18/2017 21:23:00,60.00714646,,1,1,0,3.02833724,2.447E-12,0,7.409E-12,0,-7.63893E-05,0,0,0,0,25.8231144,26.11112404,25.76413536,25.79058647
,,,,,1 Count,6,,,,,,,,,,,,,,,,
2.1,7,60.1901436,01/18/2017 21:23:01,0.124742055,,2,1,1.09990263,3.068828344,1.97884E-05,0,6.01795E-05,0,0.006188297,0,0,0,0,25.8231144,26.11112404,25.76413536,25.79058647
2.1,8,62.03490575,01/18/2017 21:23:03,1.969504525,,2,1,1.099560022,3.079142094,0.000583401,0,0.001793003,0,0.008251047,0,0,0,0,25.8231144,26.11112404,25.76413536,25.6385994
2.1,9,65.12364066,01/18/2017 21:23:06,5.058239432,,2,1,1.100248337,3.089456081,0.001527146,0,0.004703735,0,0.002826786,0,0,0,0,25.68602753,25.89805603,25.77908897,25.65349197
2.1,10,68.63355639,01/18/2017 21:23:09,8.568155165,,2,1,1.09990263,3.099769831,0.002599448,0,0.008021899,0,0.002368355,0,0,0,0,25.8231144,26.11112404,25.68807602,25.79058647
2.1,11,72.8026459,01/18/2017 21:23:14,12.73724436,,2,1,1.099541783,3.11008358,0.003873215,0,0.011976329,0,0.00206275,0,0,0,0,25.74711609,25.95913506,25.76413536,25.71459579
2.1,12,77.38893951,01/18/2017 21:23:18,17.32353797,,2,1,1.09990263,3.120397329,0.005274308,0,0.016340963,0,0.001833534,0,0,0,0,25.76202965,25.74603844,25.70303345,25.65349197
2.1,13,82.30284413,01/18/2017 21:23:23,22.23744258,,2,1,1.099541783,3.130711317,0.006775405,0,0.021032452,0,0.001680803,0,0,0,0,25.89910507,26.11112404,25.84018517,25.6385994
2.1,14,87.87194484,01/18/2017 21:23:29,27.80654329,,2,1,1.099887371,3.141025066,0.008476778,0,0.02636751,0,0.001451588,0,0,0,0,25.8231144,26.11112404,25.84018517,25.6385994
2.1,15,93.96979825,01/18/2017 21:23:35,33.90439702,,2,1,1.09990263,3.151720762,0.010339753,0,0.032228431,0,0.001680756,0,0,0,0,25.68602753,25.89805603,25.77908897,25.57749176
2.1,16,100.5529183,01/18/2017 21:23:41,40.48751706,,2,1,1.099191666,3.162034512,0.012350921,0,0.038577148,0,0.001673008,0,0,0,0,25.76202965,26.05005264,25.70303345,25.57749176
2.1,17,107.6974995,01/18/2017 21:23:49,47.63209794,,2,1,1.099887371,3.172348499,0.014533732,0,0.045490417,0,0.001444921,0,0,0,0,25.74711609,25.95913506,25.76413536,25.71459579
