Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s)
1,1000000,1.4365309087361,-1.62671668091968,2.17021386313342,-48.5527239153283,19.1284799517052
2,794330,1.02637304177071,-1.48737944567641,1.80713564413254,-55.3922048200017,20.9599059470813
3,630960,0.744768016949294,-1.29793776164436,1.49643637758942,-60.152419873751,24.3937879384116
4,501190,0.534493196461691,-1.10495765400352,1.22744221623863,-64.1858878425033,27.7025519300578
5,398110,0.386768630088904,-0.924474552929624,1.00211934031595,-67.2972283400994,33.7293259148416
6,316230,0.284512439154066,-0.762454854004528,0.813808781243151,-69.5367813063906,36.8292499070151
7,251190,0.213574624214147,-0.623216935786991,0.658796986301502,-71.0835622482407,39.9464388991449
8,199530,0.167666646591415,-0.507634030706885,0.534606784011322,-71.7221067177557,41.6674088947999
9,158490,0.134973986926038,-0.412344681820159,0.43387338449377,-71.8750249009344,43.5027118901662
10,125890,0.112270571386337,-0.334154605058949,0.352510966186184,-71.4284797654059,45.2176358858364
11,100000,0.0962551361970665,-0.270586732957924,0.287197199319838,-70.4181297229778,48.520305877498
12,79433,0.084823338746929,-0.21881925337519,0.234684606320594,-68.8116212386977,50.2822128730496
13,63096,0.0765289792938353,-0.176933021920884,0.192774424957805,-66.6100315672694,52.0840368685004
14,50119,0.0703517949386667,-0.142805127777043,0.159193842753135,-63.7732091881535,53.9021278639102
15,39811,0.0658671127071745,-0.115316845228584,0.132802301673776,-60.2656924675375,55.7348048592831
16,31623,0.0625142681045959,-0.0929647531789484,0.112028920597657,-56.0810900481417,57.4915928548477
17,25119,0.0600279567253649,-0.0748693110219982,0.0959623328266408,-51.2784126153201,59.3024038502758
18,19953,0.0578690800704673,-0.0599046398615168,0.0832910337619853,-45.9901816280211,61.1200448456867
19,15849,0.0565352830430222,-0.0480808705548245,0.0742159574624247,-40.3797598962641,62.9290278411195
20,12589,0.0555352469924208,-0.0384944337531523,0.0675720732883416,-34.7278884460981,64.6651088367363
21,10000,0.0548465252463034,-0.0307524877303071,0.0628797012810659,-29.2793819912075,67.8963528285782
22,7943.3,0.0543808797709034,-0.0244923198068951,0.0596418797002633,-24.2460757042736,69.5729458243452
23,6309.6,0.0540963079546173,-0.0194748030702348,0.0574950301238744,-19.7990003149426,71.2896738200109
24,5011.9,0.053646897996369,-0.015359841809571,0.0558024587724221,-15.9771427379852,73.0194848156435
25,3981.1,0.0535640390623766,-0.0121321984848117,0.0549208204668382,-12.7621022409068,74.7313498113215
26,3162.3,0.0535481651757512,-0.00954296845569709,0.0543918582201046,-10.1047575002577,76.4544148069712
27,2511.9,0.0534967470030033,-0.00744121973073031,0.0540117921474964,-7.91884243579062,78.1684178026437
28,1995.3,0.0535039699700348,-0.0057447313470936,0.0538114926461315,-6.1283805633978,79.8929717982896
29,1584.9,0.0535363049062214,-0.00437949137122239,0.0537151364857478,-4.67661865991494,81.584888794018
30,1258.9,0.0536296653640614,-0.00328727881507181,0.0537303192719829,-3.50760807424893,83.2808187897361
31,1000,0.053888666853828,-0.00236511862669955,0.0539405432063974,-2.51304057912131,85.0065277853791
32,794.33,0.0540313828535253,-0.00167791928383817,0.0540574300738326,-1.77872194959801,86.833712780766
33,630.96,0.0539331578044299,-0.00113143558420845,0.0539450243974248,-1.20180198869084,88.5992527763084
34,501.19,0.0540428706170701,-0.000698511935934592,0.0540473846125603,-0.740515020085197,90.3360957719233
35,398.11,0.0541761064283178,-0.000359410808952672,0.0541772986024775,-0.380101519360741,92.0486897675994
36,316.23,0.0543013835081528,-8.84672720502492E-05,0.0543014555731033,-0.0933456295477629,93.7698967632538
37,251.19,0.0544489814883978,0.000124401807267802,0.0544491236011521,0.130905774968653,95.5366267587932
38,199.53,0.0545816990603893,0.000295698792378831,0.0545825000352193,0.310399407751731,97.2728197544097
39,158.49,0.0547207930098107,0.000442128685663182,0.054722579118653,0.462923782276282,99.016267750008
40,125.89,0.0548195937109256,0.000569010079226933,0.0548225467038992,0.59469074997252,100.813170745471
41,100,0.0549690151856438,0.000693527860344008,0.0549733900298373,0.722845607097856,102.584310741
42,79.433,0.0550774150207341,0.00079559679604007,0.0550831609444126,0.827583655588695,104.40194473641
43,63.096,0.0552249807937928,0.000896395232882587,0.0552322553232105,0.929926150292116,106.264381731708
44,50.119,0.055366722191776,0.000993015594498026,0.0553756264635644,1.02750354163744,108.371449726388
45,39.811,0.0555286837734752,0.00108937210747003,0.0555393684984187,1.12389515136951,110.325681721454
46,31.623,0.0556975065125638,0.00117641200608647,0.0557099288899667,1.20998993630223,112.353901716334
47,25.119,0.0559138667495473,0.00125649950900784,0.0559279830308788,1.28733725942221,114.460617711015
48,19.953,0.0561156670032177,0.00130496965213009,0.0561308384848204,1.33217305517953,116.749378705236
49,15.849,0.0563596158374972,0.00134548758970561,0.0563756741352537,1.36757709631078,119.116798699259
50,12.589,0.0565925566496943,0.00136859938733147,0.0566091029113857,1.3853356715225,121.605547692976
51,10,0.05677940328399,0.00137335726895343,0.0567960099608605,1.38557700482118,124.30121968617
52,7.9433,0.0570069253445891,0.00136357321978861,0.057023230960454,1.37022116793869,127.033046679272
53,6.3096,0.0571945328320695,0.00134868438137322,0.0572104320508003,1.35082150776499,129.856809672143
54,5.0119,0.0574236213647672,0.00133112235319142,0.057439047497006,1.3279210663841,132.647523665097
55,3.9811,0.0576033690275218,0.00130949863033331,0.0576182515352878,1.30228188664008,135.473486657962
56,3.1623,0.0577721506537418,0.00129790114471256,0.057786728048403,1.2869825659225,138.334694650738
57,2.5119,0.0579339046230628,0.00130379831125193,0.0579485737090272,1.28921973031161,141.271277643324
58,1.9953,0.0580625299618894,0.0013184432121499,0.0580774971747145,1.30080883643563,144.338869635579
59,1.5849,0.0581537563426843,0.00135346452554774,0.0581695044072597,1.33325536604951,147.544626627486
60,1.2589,0.058344491146655,0.00140888291475073,0.0583614992801725,1.38329015508449,150.858565619119
61,1,0.058434902526254,0.00149156802146609,0.0584539357820794,1.46217407243723,154.5099766099
62,0.79433,0.058609501133821,0.00160055102141223,0.0586313515683163,1.564286165954,158.172323600653
63,0.63096,0.0587397116311767,0.0017503263129004,0.0587657839623997,1.7067949672452,162.041904590884
64,0.50119,0.0589336405191548,0.00193394608784668,0.0589653638359983,1.87952413172274,166.301871580128
65,0.39811,0.0591086868216764,0.00217020776910718,0.0591485135869373,2.10270138919067,170.973824568333
66,0.31623,0.059349368021622,0.00243941875273286,0.059399480203257,2.35368587134535,176.154034555254
67,0.25119,0.0596363234632023,0.00271687709767851,0.0596981783421536,2.60844435899132,181.978232540549
68,0.19953,0.059828309741957,0.00308088360850892,0.0599075829122551,2.94786605952483,188.596132523841
69,0.15849,0.0601137443690495,0.0035245941484228,0.0602169828701051,3.3555293880348,196.267446504472
70,0.12589,0.0604331465985895,0.00399231931040055,0.0605648728330441,3.77956753459416,205.200850481918
71,0.1,0.0607112349091806,0.00457780735945548,0.0608835804172027,4.31211191055772,215.81070845513
