Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s)
1,1000000,1.16872692691316,-1.35034493863794,1.78587627874861,-49.123729722948,14.4787759634446
2,794330,0.840536048205599,-1.22444765582495,1.48518447008723,-55.5319049353396,16.3172469588029
3,630960,0.618876650676852,-1.05974431694822,1.22721893974019,-59.7156373006432,19.7879329500403
4,501190,0.454619277967327,-0.899474503911122,1.00783583538476,-63.1867045275086,25.9366819345162
5,398110,0.339665837611083,-0.752346356071921,0.825468303894666,-65.7019969826364,30.5422589228882
6,316230,0.259413856155647,-0.62257928010999,0.674463126336656,-67.3796784556108,33.6904589149398
7,251190,0.202285536203905,-0.511997635414471,0.550509779047848,-68.4414817769385,36.811874907059
8,199530,0.164099724839018,-0.420311392076991,0.451209913457074,-68.6731249415089,38.5947079025577
9,158490,0.135493053289393,-0.344247838845987,0.3699526213447,-68.5158184659645,40.3445918981397
10,125890,0.114595307269596,-0.281305879602803,0.303751678756381,-67.8355393597923,42.0501428938336
11,100000,0.0990886094210568,-0.229321545062728,0.249813777736448,-66.6310862360721,45.432469885294
12,79433,0.0878184279801997,-0.186638699228566,0.20626701225025,-64.8017788128209,47.0565638811936
13,63096,0.0794998694835022,-0.151588947482872,0.171170786779926,-62.3255193066443,48.8816908765856
14,50119,0.0733215148788815,-0.12288258786872,0.1430949857453,-59.1763407266893,50.7072298719766
15,39811,0.0687900009272294,-0.0995759524249948,0.121026586041717,-55.3621411028192,52.4472948675833
16,31623,0.0653437640413674,-0.0805253390461154,0.103702158741203,-50.9417636761791,54.1642858632483
17,25119,0.0624793964953798,-0.0647887234115996,0.0900069645512592,-46.0395389438429,55.98559285865
18,19953,0.0605370977453232,-0.0521807535352636,0.0799222825182986,-40.7601302799121,57.8335338539844
19,15849,0.059134847864968,-0.0419402139288827,0.0724976673860156,-35.345413245501,59.6511738493953
20,12589,0.0580547381456679,-0.0335490644931509,0.0670514157160583,-30.0230486117723,61.3834658450216
21,10000,0.0571653245457318,-0.0267253359071092,0.0631040245132327,-25.0565384865842,64.5481198370317
22,7943.3,0.0567202113293442,-0.021160832752901,0.060538939667306,-20.4592343545836,66.1785788329152
23,6309.6,0.0564904631769171,-0.0166571940317174,0.0588951147630506,-16.4290679484314,67.910702828542
24,5011.9,0.0560978119787501,-0.0129378526890287,0.0575704137644173,-12.9870564536139,69.6357908241865
25,3981.1,0.0560875658764255,-0.00998666950477704,0.0569697166373505,-10.0959922751419,71.3757508197936
26,3162.3,0.0561878103222764,-0.00759682530599058,0.0566990457022149,-7.69993520245233,73.0823938154847
27,2511.9,0.0562700884575504,-0.00562665728746408,0.0565507040385097,-5.71023871500837,74.8943078109101
28,1995.3,0.0564238527957511,-0.00400776401455297,0.0565660086687486,-4.06287311808171,76.6364378065116
29,1584.9,0.0566045810292217,-0.00268376753602332,0.0566681674459403,-2.71450621199764,78.3333258022274
30,1258.9,0.0568051305124069,-0.00160018340288948,0.0568276643850023,-1.61357811903427,80.0242687979581
31,1000,0.0572449311971362,-0.000627636485712939,0.0572483718137299,-0.628168819351309,81.74645579361
32,794.33,0.0575465906844238,7.73162276747167E-05,0.0575466426231772,0.076979206161098,83.6081767889096
33,630.96,0.0576489151594487,0.000648566659800485,0.057652563323529,0.644566590430039,85.3180487845926
34,501.19,0.0579961919376164,0.00112874838904251,0.0580071750061198,1.11497587705618,87.0459557802301
35,398.11,0.0584028766768903,0.00153594312779104,0.0584230701472275,1.50648021682119,88.7501867759273
36,316.23,0.0587782648641573,0.00188621819573897,0.0588085218273931,1.83801389163817,90.4982887715138
37,251.19,0.0591522201592483,0.00219642824081209,0.0591929847767894,2.12651829556718,92.2696117670416
38,199.53,0.0595776182876355,0.00248315172754474,0.0596293438109897,2.38666498173587,93.9962937626822
39,158.49,0.0599935229912191,0.00275710536598207,0.0600568433311064,2.63127453951968,95.7837057581694
40,125.89,0.0604571388682541,0.00302965443872637,0.0605330029500723,2.86883117312855,97.5802577536335
41,100,0.0609647434956178,0.00331025269639034,0.0610545471066688,3.10798397178922,99.3657617491256
42,79.433,0.0614966160351401,0.00357028443106551,0.0616001681385056,3.32266840127255,101.172151744565
43,63.096,0.0620772865049549,0.00382758655163913,0.0621951760076981,3.52829972640694,103.080464739747
44,50.119,0.0627105252269197,0.00406389527904104,0.0628420656811593,3.70781329129729,105.163250734488
45,39.811,0.0633994889811745,0.00427527479774471,0.0635434747056714,3.85783731727196,107.121171729545
46,31.623,0.0641214775003295,0.0044396509879631,0.0642749902973169,3.9607313754565,109.199415724298
47,25.119,0.0649084480959544,0.00454759405792417,0.0650675590900786,4.00768894002306,111.291641719016
48,19.953,0.0657131884999061,0.00457073881553216,0.0658719575854855,3.97885017616315,113.595762713198
49,15.849,0.0665241560701339,0.004531881726421,0.066678342007175,3.89718784893913,115.976523707187
50,12.589,0.0673201206334943,0.00441764893219299,0.0674649113554323,3.75445343923131,118.437840700973
51,10,0.0680458059790435,0.00424005561853656,0.068177780713264,3.56559227334893,121.152630694119
52,7.9433,0.0687475013078547,0.00401585088252712,0.0688646933804557,3.3431052312492,123.902838687175
53,6.3096,0.0693733418654502,0.00376041797216789,0.0694751848137594,3.10271098421767,126.725897680048
54,5.0119,0.0698119629045666,0.00349163457179269,0.0698992251500081,2.86325371589246,129.550677672916
55,3.9811,0.0702806528031941,0.00323479390654295,0.0703550570326038,2.6352818059237,132.38112166577
56,3.1623,0.0706823948826369,0.00299886122195025,0.0707459830306536,2.42944661671291,135.350109658274
57,2.5119,0.0710357157803942,0.00279758887010654,0.0710907829463081,2.25530551675284,138.363322650666
58,1.9953,0.0713147543209483,0.00263960664489131,0.0713635881041373,2.11974805395451,141.476713642806
59,1.5849,0.0715481476505601,0.00252084926801061,0.0715925423019631,2.01786221299609,144.601347634917
60,1.2589,0.0717994462476448,0.00245938529571171,0.071841555227467,1.96181631877718,147.955737626448
61,1,0.0719771886968377,0.00244022140820552,0.0720185418709741,1.94173820850658,151.612060617216
62,0.79433,0.0722209524699632,0.00249996464349906,0.0722642082838208,1.98253067284048,155.291301607927
63,0.63096,0.0724114863942215,0.00261471338225746,0.072458678485685,2.06800037030188,159.166386598144
64,0.50119,0.0725727970905851,0.00280514520756198,0.0726269902803823,2.21354305063542,163.388539587484
65,0.39811,0.0728077544814768,0.00305352303539633,0.0728717580106498,2.40155070028709,168.002672575834
66,0.31623,0.0730299138675925,0.00341242586565666,0.0731095956068462,2.6752803177267,173.242012562606
67,0.25119,0.0732395189313844,0.00387314088543461,0.0733418594911462,3.02716490412635,179.113646547782
68,0.19953,0.0735597300478383,0.00443688152184945,0.0736934176324437,3.45171155277918,185.761450530997
69,0.15849,0.0738320119511546,0.00515404683614204,0.0740116895331041,3.99321154874256,193.48793551149
70,0.12589,0.0741536568551625,0.00602144796242447,0.074397732899312,4.64236369315508,202.419705488939
71,0.1,0.0744947113733552,0.00724327598719084,0.0748460224035059,5.55353074440778,213.011735462197
