Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s)
1,1000000,1.22587643828855,-1.19883740945789,1.71463820564769,-44.3610965587461,14.3206469638438
2,794330,0.912430981606195,-1.12460978680001,1.44819800744277,-50.9465029554773,16.1837759591399
3,630960,0.688016582263619,-0.997857166288237,1.2120584729222,-55.4139677403004,19.6180159504693
4,501190,0.515780035479087,-0.864278623823123,1.00648228230625,-59.1722958191962,23.1792199414781
5,398110,0.390716392390029,-0.733711794007866,0.831259463674562,-61.9637946064233,27.9160959295186
6,316230,0.30148225226412,-0.614159271861068,0.684166032219639,-63.85422005981,32.422139918142
7,251190,0.237026986546981,-0.508473406853808,0.56100534563323,-65.007225092438,35.572515910188
8,199530,0.193991510406016,-0.41973604786703,0.462397076103041,-65.1948001251206,37.3687979056529
9,158490,0.161805247393617,-0.345239239071538,0.381275583113847,-64.8886546741026,39.2972229007841
10,125890,0.138385207481964,-0.283275646573878,0.315270610098174,-63.9636655741688,41.0404128963829
11,100000,0.121075886880691,-0.23197759169661,0.261673409870596,-62.4386274915663,44.2524498882733
12,79433,0.108244727502542,-0.189310138342691,0.218071661413005,-60.2397192775252,45.9829798839041
13,63096,0.0988651229498869,-0.154377677076439,0.183321520055376,-57.3640646203843,47.8512148791873
14,50119,0.0917976176704374,-0.125480857174686,0.155474268376673,-53.8120400810321,49.6580408746255
15,39811,0.0865945074219686,-0.101897294070044,0.133722351364499,-49.6414026863033,51.4817088700212
16,31623,0.0826861112377314,-0.0826388579362771,0.116902411577481,-44.9836236795858,53.2137088656483
17,25119,0.079752885748537,-0.0669634899571666,0.1041375617751,-40.0180697635507,54.9711198612113
18,19953,0.0770734604234323,-0.0539157222884289,0.0940596800522167,-34.9742048501068,56.6972128568533
19,15849,0.0753188243263145,-0.0434599922419758,0.0869580141422906,-29.9855341762851,58.5322868522202
20,12589,0.0739776399211653,-0.0348549614765076,0.0817775002542534,-25.2277203891149,60.3928708475227
21,10000,0.0730858713387217,-0.0277404798746626,0.0781733894174785,-20.7847631468514,63.5358758395873
22,7943.3,0.0724355106255094,-0.0218770481654664,0.075667089517256,-16.8054208258157,65.1661418354713
23,6309.6,0.0720899619949029,-0.0170522156374987,0.0740792864340248,-13.3081823474422,66.9062778310779
24,5011.9,0.0715664817959688,-0.0130098143751827,0.0727393743905558,-10.3030847645313,68.6467818266835
25,3981.1,0.0715931811240223,-0.00975486007428163,0.0722546945085638,-7.75900108219017,70.3632248223499
26,3162.3,0.0717218245365961,-0.00705510253439864,0.0720679858649397,-5.61797369463683,72.0805258180142
27,2511.9,0.0719157298174019,-0.00481169540010366,0.0720765191154021,-3.82780730060356,73.8440128135618
28,1995.3,0.0722254055722893,-0.0029537925564027,0.0722857807632175,-2.34191260046789,75.5812808091756
29,1584.9,0.0726020033789816,-0.00140303786465917,0.0726155590069465,-1.10710640820263,77.2827688048798
30,1258.9,0.0730427629063579,-9.7361144719093E-05,0.0730428277942942,-0.076371417992439,78.987785800575
31,1000,0.0738172496557743,0.00105437584874171,0.073824779411613,0.818334177237922,80.737662796157
32,794.33,0.0743720953244485,0.00200015666338175,0.074398986482525,1.54053636835639,82.5642097915454
33,630.96,0.0750655690040379,0.00282682551968424,0.0751187765636443,2.15663021407037,84.2901597871878
34,501.19,0.0754160295083821,0.00353222102796804,0.0754987025862006,2.68157271088642,86.0904467826425
35,398.11,0.0761465026907299,0.00418538686127924,0.0762614406840567,3.14609254601149,87.7972677783332
36,316.23,0.0769703159324833,0.00477853638092308,0.077118505850996,3.55252567686933,89.5308247739564
37,251.19,0.0778969447756178,0.00532395254550186,0.078078668508642,3.90986286109477,91.3017287694853
38,199.53,0.0788222477902416,0.00582021824556413,0.0790368375324585,4.22304434802441,93.0880017649754
39,158.49,0.0798700704439282,0.00627730650986275,0.0801163699236106,4.49386550236957,94.880820760449
40,125.89,0.0808677443606925,0.00668854132614972,0.0811438763127442,4.72815082507537,96.676625755915
41,100,0.0819791704037889,0.00706954184180539,0.0822834296924144,4.92875550631871,98.4738507513774
42,79.433,0.0831103449560132,0.00740102357557848,0.0834392269180017,5.08879874302836,100.296242746776
43,63.096,0.0842353718372068,0.00770125473498288,0.0845866844902056,5.22376885728203,102.169901742046
44,50.119,0.0854210461362668,0.00798150529938966,0.085793120644131,5.33805983495188,104.249395736796
45,39.811,0.0866322189406387,0.00825643757543028,0.0870247672792966,5.44410072800553,106.260456731718
46,31.623,0.0878784915900486,0.00853164681441403,0.0882916659799108,5.54515869313445,108.309523726545
47,25.119,0.0890472628991734,0.00879850909696642,0.0894808850658279,5.64291839759157,110.308601721498
48,19.953,0.090308591679464,0.00907040999666547,0.0907629553762755,5.73543641658762,112.657629715567
49,15.849,0.0916561883969299,0.00937030691876214,0.0921339216749472,5.8372519150962,115.003972709643
50,12.589,0.0929413105127082,0.00968439838677314,0.0934445010256536,5.94869985589325,117.478750703395
51,10,0.0942239367137621,0.01003441868113,0.0947567401724398,6.07882722867743,120.217282696481
52,7.9433,0.0954824939095709,0.0104452304116118,0.096052118568738,6.24300104977937,122.942219689601
53,6.3096,0.0966900637410303,0.0109616457972425,0.0973094348191824,6.46794385162001,125.801678682381
54,5.0119,0.0978497560047091,0.0116293053897511,0.0985383960394586,6.77773006086606,128.671637675135
55,3.9811,0.0989466042491889,0.0125182029743483,0.0997353292377009,7.21045282989747,131.518183667949
56,3.1623,0.100100435242468,0.0137250950531017,0.101037000004692,7.80732687242581,134.465253660508
57,2.5119,0.101756683786702,0.0153743214646847,0.102911575907505,8.59178117667246,137.488445652875
58,1.9953,0.102962843449386,0.0174322197198296,0.104428106444306,9.60939046779846,140.596815645027
59,1.5849,0.104384978192552,0.0200309623825939,0.106289525007088,10.8627267632706,143.769541637017
60,1.2589,0.10592813241619,0.0232912924928503,0.108458533749859,12.4007646938594,147.035198628772
61,1,0.107896967346944,0.0273333108794465,0.111305280406187,14.215560304155,150.702437619513
62,0.79433,0.110451992343595,0.0320382634428488,0.115004751802275,16.1755972783041,154.339877610329
