Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s)
1,1000000,1.38855986146856,-1.62326687856818,2.13613994109424,-49.4559662444104,19.1141679517414
2,794330,0.985255625403472,-1.47723007021474,1.77565124045681,-56.2982379897716,22.4328869433624
3,630960,0.709439616917792,-1.28499714766961,1.46782909072259,-61.0971608486463,25.7583689349664
4,501190,0.504813424996883,-1.09104729682786,1.20217336435827,-65.1706319310281,29.0873239265616
5,398110,0.361422547578708,-0.909027807670598,0.978242205701991,-68.3176075372,32.3081199184298
6,316230,0.263175500372579,-0.748544157373377,0.793460584738887,-70.6291858061545,35.4412699105194
7,251190,0.195365380187307,-0.610738395545649,0.641224624893184,-72.2613626930004,38.5693939026216
8,199530,0.151728419927827,-0.496468911621313,0.519136681058318,-73.006053922745,40.3066978982354
9,158490,0.120807330912424,-0.402566877854148,0.420302869782518,-73.2958897005852,42.1559848935664
10,125890,0.0994609159876817,-0.32569017995646,0.340538642637191,-73.0181115106536,43.8531328892815
11,100000,0.0844729394993545,-0.263499424689979,0.276708554836332,-72.2251307636191,47.151481880954
12,79433,0.0738078174476665,-0.213063164915296,0.225485046422398,-70.8932572923348,48.784113876832
13,63096,0.0659859624600551,-0.172135328537567,0.184349446900488,-69.0262879975813,50.6024568722411
14,50119,0.0602206745914297,-0.139046320816293,0.151526924936772,-66.5826632013657,52.4215598676483
15,39811,0.0559023640259502,-0.112176220457333,0.125333869084865,-63.5108973316031,54.2789408629588
16,31623,0.0527221158773108,-0.0904633627972562,0.104705498953821,-59.7663355255843,56.0959508583713
17,25119,0.0500852647294161,-0.0725274184808356,0.088140570536558,-55.3722025617928,57.9035398538076
18,19953,0.0483309295775499,-0.0582848341254245,0.0757165810299061,-50.3338104095346,59.6254928494601
19,15849,0.0470330399809782,-0.046729068066134,0.0663001708307127,-44.8142506908414,61.3743278450447
20,12589,0.0461299632958829,-0.0374103262595779,0.0593928112192676,-39.0412477601641,63.1907198404588
21,10000,0.0453482055301219,-0.0298200525077205,0.054274259795647,-33.3281017721963,66.3102748325827
22,7943.3,0.0449316476965801,-0.0237087434862921,0.0508031247309493,-27.8189281210573,67.9791158283692
23,6309.6,0.0447042241046849,-0.0188020751921471,0.0484972750196652,-22.8110541846279,69.6999428240246
24,5011.9,0.0443293152281688,-0.0147647578524539,0.0467235086764678,-18.4213603080683,71.5227378194224
25,3981.1,0.0443123187085353,-0.0116114065139946,0.0458083655084968,-14.6834099847052,73.2749668149985
26,3162.3,0.0443211174312942,-0.00907361945831937,0.0452403804187471,-11.5699780854503,74.9665438107277
27,2511.9,0.0443560953712173,-0.00703662819294282,0.0449107707894915,-9.01425490027392,76.688957806379
28,1995.3,0.0444044068236365,-0.00539199703224648,0.0447305821262676,-6.92349131718253,78.3958948020694
